entityId|creationTm|_epk|nation|stage|winner|carFede|carBomber|weather|time|seasonID|rallyID|stageProgrInRally
224|2019-06-08T00:16:52.07|211-222-1|[3,Mexico]|[89,Mexico-1]|FEDE|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|211|222|1
225|2019-06-08T00:16:52.071|211-222-2|[3,Mexico]|[90,Mexico-2]|FEDE|[74,Hyundai i20]|[74,Hyundai i20]|CLEAR_SKY|DAWN|211|222|2
227|2019-06-08T00:17:15.441|211-226-0|[4,Argentina]|[93,Argentina-0]|FEDE|[77,MINI John Cooper Works]|[77,MINI John Cooper Works]|CLEAR_SKY|DAWN|211|226|0
228|2019-06-08T00:17:15.441|211-226-1|[4,Argentina]|[94,Argentina-1]|FEDE|[77,MINI John Cooper Works]|[77,MINI John Cooper Works]|CLEAR_SKY|DAWN|211|226|1
229|2019-06-08T00:17:15.442|211-226-2|[4,Argentina]|[95,Argentina-2]|BOMBER|[77,MINI John Cooper Works]|[77,MINI John Cooper Works]|CLEAR_SKY|DAWN|211|226|2
230|2019-06-08T00:17:15.442|211-226-3|[4,Argentina]|[96,Argentina-3]|BOMBER|[77,MINI John Cooper Works]|[77,MINI John Cooper Works]|CLEAR_SKY|DAWN|211|226|3
231|2019-06-08T00:17:15.442|211-226-4|[4,Argentina]|[97,Argentina-4]|BOMBER|[77,MINI John Cooper Works]|[77,MINI John Cooper Works]|CLEAR_SKY|DAWN|211|226|4
233|2019-06-08T00:29:29.122|211-232-0|[5,Portugal]|[98,Portugal-0]|BOMBER|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|211|232|0
234|2019-06-08T00:29:29.122|211-232-1|[5,Portugal]|[99,Portugal-1]|FEDE|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|211|232|1
235|2019-06-08T00:29:29.123|211-232-2|[5,Portugal]|[100,Portugal-2]|BOMBER|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|211|232|2
236|2019-06-08T00:29:29.123|211-232-3|[5,Portugal]|[101,Portugal-3]|FEDE|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|211|232|3
237|2019-06-08T00:29:29.123|211-232-4|[5,Portugal]|[102,Portugal-4]|BOMBER|[73,Ford Fiesta RS]|[73,Ford Fiesta RS]|CLEAR_SKY|DAWN|211|232|4
239|2019-06-08T01:30:27.88|211-238-0|[6,Italy]|[103,Italy-0]|FEDE|[76,Volkswagen Polo R]|[76,Volkswagen Polo R]|CLEAR_SKY|DAWN|211|238|0
